feature,family,role,new_candidate,cutoff_day,swap_parity,availability,units,evidence,interpretation
diff_seed,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_strength,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_schedule_strength,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_win_rate,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_margin,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_margin_sd,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_adj_offense,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_adj_defense,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_two_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
diff_three_posterior,frozen_consensus_reference,reference,False,132,-1,same-season regular-season detailed box scores through day 132; seeds only select forecast pairs,"signed events per 100 opportunities, except frozen reference",prepared hypothesis; greater assist or point share is not intrinsically better; decide from controlled Brier,positive offense = higher target rate; positive defense = lower opponent target rate
